Id,Tag,Fim,target_4h,split,score,threshold,prediction
121107788,CA65931,2025-06-07 01:00:00+00:00,0,test,0.48368305891031543,0.1802228521655894,1
121120621,CA65931,2025-06-07 05:00:00+00:00,0,test,0.5984394598049078,0.1802228521655894,1
121131596,CA65931,2025-06-07 09:00:00+00:00,0,test,0.5537011490532067,0.1802228521655894,1
121140906,CA65931,2025-06-07 13:00:00+00:00,0,test,0.5734539188682736,0.1802228521655894,1
121151561,CA65931,2025-06-07 17:00:00+00:00,1,test,0.5792449300414926,0.1802228521655894,1
121164340,CA65931,2025-06-07 21:00:00+00:00,0,test,0.5784824756705633,0.1802228521655894,1
121176244,CA65931,2025-06-08 01:00:00+00:00,0,test,0.5270669916817579,0.1802228521655894,1
121186774,CA65931,2025-06-08 05:00:00+00:00,0,test,0.5736186935999923,0.1802228521655894,1
121200263,CA65931,2025-06-08 09:00:00+00:00,0,test,0.49139929292799794,0.1802228521655894,1
121210257,CA65931,2025-06-08 13:00:00+00:00,0,test,0.36147082587470813,0.1802228521655894,1
121221450,CA65931,2025-06-08 17:00:00+00:00,0,test,0.524005107754298,0.1802228521655894,1
121234537,CA65931,2025-06-08 21:00:00+00:00,0,test,0.5921490899328091,0.1802228521655894,1
121243892,CA65931,2025-06-09 01:00:00+00:00,0,test,0.48859435033604015,0.1802228521655894,1
121257589,CA65931,2025-06-09 05:00:00+00:00,0,test,0.5943205527893294,0.1802228521655894,1
121267372,CA65931,2025-06-09 09:00:00+00:00,0,test,0.5821480651483502,0.1802228521655894,1
121275986,CA65931,2025-06-09 13:00:00+00:00,0,test,0.6092805173358051,0.1802228521655894,1
121289709,CA65931,2025-06-09 17:00:00+00:00,0,test,0.6449426370441914,0.1802228521655894,1
121300636,CA65931,2025-06-09 21:00:00+00:00,0,test,0.6906827388529562,0.1802228521655894,1
121311840,CA65931,2025-06-10 01:00:00+00:00,0,test,0.6453374352565566,0.1802228521655894,1
121322573,CA65931,2025-06-10 05:00:00+00:00,0,test,0.6139388722601934,0.1802228521655894,1
121331281,CA65931,2025-06-10 09:00:00+00:00,0,test,0.3365061635175708,0.1802228521655894,1
121343096,CA65931,2025-06-10 13:00:00+00:00,0,test,0.35577252799687503,0.1802228521655894,1
121354211,CA65931,2025-06-10 17:00:00+00:00,0,test,0.21518863978409694,0.1802228521655894,1
121364488,CA65931,2025-06-10 21:00:00+00:00,0,test,0.24117580570121513,0.1802228521655894,1
121433959,CA65931,2025-06-11 22:00:00+00:00,0,test,0.18109938123610408,0.1802228521655894,1
121477952,CA65931,2025-06-12 13:22:25+00:00,0,test,0.22967628291280678,0.1802228521655894,1
121489295,CA65931,2025-06-12 17:31:07+00:00,0,test,0.359195377093535,0.1802228521655894,1
121500001,CA65931,2025-06-12 21:31:20+00:00,0,test,0.4758468341810848,0.1802228521655894,1
121511965,CA65931,2025-06-13 01:35:16+00:00,0,test,0.4171259525825243,0.1802228521655894,1
121521457,CA65931,2025-06-13 05:49:30+00:00,1,test,0.4625630705246616,0.1802228521655894,1
121532399,CA65931,2025-06-13 10:00:00+00:00,0,test,0.47684823053568,0.1802228521655894,1
121542200,CA65931,2025-06-13 14:00:00+00:00,0,test,0.6435959633525133,0.1802228521655894,1
121554275,CA65931,2025-06-13 18:00:00+00:00,0,test,0.5939728783809184,0.1802228521655894,1
121563602,CA65931,2025-06-13 22:00:00+00:00,0,test,0.6944210306892986,0.1802228521655894,1
121573791,CA65931,2025-06-14 02:00:00+00:00,0,test,0.5275897611217764,0.1802228521655894,1
121586777,CA65931,2025-06-14 06:00:00+00:00,0,test,0.6368733856453375,0.1802228521655894,1
121599027,CA65931,2025-06-14 10:00:00+00:00,0,test,0.5533234593146971,0.1802228521655894,1
121608117,CA65931,2025-06-14 14:00:00+00:00,0,test,0.5870622141924545,0.1802228521655894,1
121620175,CA65931,2025-06-14 18:00:00+00:00,0,test,0.5820366300317662,0.1802228521655894,1
121632663,CA65931,2025-06-14 22:00:00+00:00,0,test,0.6539242590351727,0.1802228521655894,1
121641543,CA65931,2025-06-15 02:00:00+00:00,0,test,0.5672839838361482,0.1802228521655894,1
121652594,CA65931,2025-06-15 06:00:00+00:00,0,test,0.6144943232021209,0.1802228521655894,1
121661965,CA65931,2025-06-15 10:00:00+00:00,0,test,0.701005033331794,0.1802228521655894,1
121671782,CA65931,2025-06-15 14:00:00+00:00,1,test,0.6244886652241101,0.1802228521655894,1
121682430,CA65931,2025-06-15 18:00:00+00:00,1,test,0.5140199802072037,0.1802228521655894,1
121691554,CA65931,2025-06-15 22:00:00+00:00,0,test,0.6435301000155661,0.1802228521655894,1
121701470,CA65931,2025-06-16 02:00:00+00:00,0,test,0.5930156564557346,0.1802228521655894,1
121710087,CA65931,2025-06-16 06:00:00+00:00,1,test,0.5779358757387637,0.1802228521655894,1
121730608,CA65931,2025-06-16 10:00:00+00:00,0,test,0.5928074135059016,0.1802228521655894,1
121730618,CA65931,2025-06-16 14:00:00+00:00,0,test,0.6632576865029115,0.1802228521655894,1
121774682,CA65931,2025-06-16 18:00:00+00:00,1,test,0.6732302520553965,0.1802228521655894,1
121839442,CA65931,2025-06-16 22:00:00+00:00,1,test,0.7000429946940758,0.1802228521655894,1
121847830,CA65931,2025-06-17 02:00:00+00:00,0,test,0.496633017165818,0.1802228521655894,1
121859647,CA65931,2025-06-17 06:00:00+00:00,0,test,0.524951442121818,0.1802228521655894,1
121867527,CA65931,2025-06-17 10:00:00+00:00,0,test,0.6066450984350226,0.1802228521655894,1
121899943,CA65931,2025-06-17 14:00:00+00:00,0,test,0.5622926531785895,0.1802228521655894,1
121917231,CA65931,2025-06-17 18:00:00+00:00,0,test,0.5905706414473416,0.1802228521655894,1
122218870,CA65931,2025-06-17 22:00:00+00:00,0,test,0.720608141193396,0.1802228521655894,1
122910247,CA65931,2025-06-18 02:00:00+00:00,0,test,0.651413942963779,0.1802228521655894,1
122993829,CA65931,2025-06-18 06:00:00+00:00,0,test,0.5909125478074938,0.1802228521655894,1
123011354,CA65931,2025-06-18 10:00:00+00:00,0,test,0.6567996766568366,0.1802228521655894,1
123020349,CA65931,2025-06-18 14:00:00+00:00,0,test,0.6558893549225667,0.1802228521655894,1
123061084,CA65931,2025-06-18 18:00:00+00:00,0,test,0.6679086383463827,0.1802228521655894,1
123115895,CA65931,2025-06-18 22:00:00+00:00,0,test,0.7036905757681026,0.1802228521655894,1
123132492,CA65931,2025-06-19 02:00:00+00:00,0,test,0.5423112895456959,0.1802228521655894,1
123143931,CA65931,2025-06-19 06:00:00+00:00,0,test,0.5714385275797229,0.1802228521655894,1
123157306,CA65931,2025-06-19 10:00:00+00:00,0,test,0.5505852769123227,0.1802228521655894,1
123167954,CA65931,2025-06-19 14:00:00+00:00,0,test,0.5385841541004939,0.1802228521655894,1
123180596,CA65931,2025-06-19 18:00:00+00:00,0,test,0.6799557826347591,0.1802228521655894,1
123192265,CA65931,2025-06-19 22:00:00+00:00,0,test,0.7238959107496887,0.1802228521655894,1
123203898,CA65931,2025-06-20 02:00:00+00:00,1,test,0.5774309421805203,0.1802228521655894,1
123215806,CA65931,2025-06-20 06:00:00+00:00,0,test,0.5521744926857475,0.1802228521655894,1
123225955,CA65931,2025-06-20 10:00:00+00:00,0,test,0.5641350775448916,0.1802228521655894,1
123240069,CA65931,2025-06-20 14:00:00+00:00,0,test,0.5016385525786943,0.1802228521655894,1
123250999,CA65931,2025-06-20 18:00:00+00:00,0,test,0.5389748345901977,0.1802228521655894,1
123262691,CA65931,2025-06-20 22:00:00+00:00,0,test,0.6530739091074969,0.1802228521655894,1
123272550,CA65931,2025-06-21 02:00:00+00:00,0,test,0.5268098679423594,0.1802228521655894,1
123284481,CA65931,2025-06-21 06:00:00+00:00,0,test,0.520646894471339,0.1802228521655894,1
123297778,CA65931,2025-06-21 10:00:00+00:00,0,test,0.5697458057532502,0.1802228521655894,1
123308119,CA65931,2025-06-21 14:00:00+00:00,0,test,0.34388198104531376,0.1802228521655894,1
123320193,CA65931,2025-06-21 18:00:00+00:00,0,test,0.49076133434151814,0.1802228521655894,1
123330804,CA65931,2025-06-21 22:00:00+00:00,0,test,0.5817382847804382,0.1802228521655894,1
123342336,CA65931,2025-06-22 02:00:00+00:00,0,test,0.47388934271124306,0.1802228521655894,1
123351885,CA65931,2025-06-22 06:00:00+00:00,0,test,0.5735617876970814,0.1802228521655894,1
123363552,CA65931,2025-06-22 10:00:00+00:00,0,test,0.5661546991725422,0.1802228521655894,1
123372870,CA65931,2025-06-22 14:00:00+00:00,0,test,0.4265426121522554,0.1802228521655894,1
123383548,CA65931,2025-06-22 18:00:00+00:00,0,test,0.5708447953812273,0.1802228521655894,1
123396313,CA65931,2025-06-22 22:00:00+00:00,1,test,0.578356247676111,0.1802228521655894,1
123408075,CA65931,2025-06-23 02:00:00+00:00,0,test,0.6135573796409625,0.1802228521655894,1
123417027,CA65931,2025-06-23 06:00:00+00:00,1,test,0.593527942288879,0.1802228521655894,1
123430447,CA65931,2025-06-23 10:00:00+00:00,0,test,0.6165534739695975,0.1802228521655894,1
123439964,CA65931,2025-06-23 14:00:00+00:00,1,test,0.47785548542175044,0.1802228521655894,1
123451139,CA65931,2025-06-23 18:00:00+00:00,1,test,0.5344172966518688,0.1802228521655894,1
123462642,CA65931,2025-06-23 22:00:00+00:00,1,test,0.612893187929497,0.1802228521655894,1
123475835,CA65931,2025-06-24 02:00:00+00:00,0,test,0.44110855170719543,0.1802228521655894,1
123485110,CA65931,2025-06-24 06:00:00+00:00,1,test,0.6309218867738612,0.1802228521655894,1
123495633,CA65931,2025-06-24 10:00:00+00:00,1,test,0.5898993346994791,0.1802228521655894,1
123505926,CA65931,2025-06-24 14:00:00+00:00,1,test,0.5898993346994791,0.1802228521655894,1
123942738,CA65931,2025-06-24 18:00:00+00:00,0,test,0.607078485243101,0.1802228521655894,1
123957698,CA65931,2025-06-24 22:00:00+00:00,1,test,0.7304641415299717,0.1802228521655894,1
123969372,CA65931,2025-06-25 02:00:00+00:00,0,test,0.5553576482406197,0.1802228521655894,1
123981307,CA65931,2025-06-25 06:00:00+00:00,0,test,0.6205160802375698,0.1802228521655894,1
123991594,CA65931,2025-06-25 10:00:00+00:00,1,test,0.645993114383546,0.1802228521655894,1
124003239,CA65931,2025-06-25 14:00:00+00:00,0,test,0.5240167377201638,0.1802228521655894,1
124014175,CA65931,2025-06-25 18:00:00+00:00,0,test,0.6592520063853831,0.1802228521655894,1
124033307,CA65931,2025-06-25 22:00:00+00:00,0,test,0.6691016492803431,0.1802228521655894,1
124044713,CA65931,2025-06-26 02:00:00+00:00,0,test,0.5666857181323364,0.1802228521655894,1
124061418,CA65931,2025-06-26 06:00:00+00:00,0,test,0.616637207507047,0.1802228521655894,1
124070544,CA65931,2025-06-26 10:00:00+00:00,1,test,0.5595563856950244,0.1802228521655894,1
124081751,CA65931,2025-06-26 14:00:00+00:00,1,test,0.5933377039058219,0.1802228521655894,1
124097669,CA65931,2025-06-26 18:00:00+00:00,0,test,0.6211699251051251,0.1802228521655894,1
124118977,CA65931,2025-06-26 22:00:00+00:00,0,test,0.670073780712445,0.1802228521655894,1
124128089,CA65931,2025-06-27 02:00:00+00:00,0,test,0.513633579706506,0.1802228521655894,1
124140223,CA65931,2025-06-27 06:00:00+00:00,0,test,0.5658112466338957,0.1802228521655894,1
124150339,CA65931,2025-06-27 10:00:00+00:00,0,test,0.5648458654454249,0.1802228521655894,1
124162888,CA65931,2025-06-27 14:00:00+00:00,0,test,0.5308736782320916,0.1802228521655894,1
124176623,CA65931,2025-06-27 18:00:00+00:00,0,test,0.5572814060693095,0.1802228521655894,1
124198266,CA65931,2025-06-27 22:00:00+00:00,0,test,0.622022784156754,0.1802228521655894,1
124210685,CA65931,2025-06-28 02:00:00+00:00,0,test,0.5120400507805449,0.1802228521655894,1
124221590,CA65931,2025-06-28 06:00:00+00:00,0,test,0.5463385062218714,0.1802228521655894,1
124233623,CA65931,2025-06-28 10:00:00+00:00,0,test,0.5834309872006992,0.1802228521655894,1
124252892,CA65931,2025-06-28 14:00:00+00:00,0,test,0.5769718450473251,0.1802228521655894,1
124265603,CA65931,2025-06-28 18:00:00+00:00,0,test,0.6114935819800009,0.1802228521655894,1
124282924,CA65931,2025-06-28 22:00:00+00:00,0,test,0.6500113757126031,0.1802228521655894,1
124293994,CA65931,2025-06-29 02:00:00+00:00,0,test,0.5670360484127805,0.1802228521655894,1
124309928,CA65931,2025-06-29 06:00:00+00:00,0,test,0.5861418202739894,0.1802228521655894,1
124322001,CA65931,2025-06-29 10:00:00+00:00,0,test,0.6283954982384293,0.1802228521655894,1
124332371,CA65931,2025-06-29 14:00:00+00:00,0,test,0.6332395558181925,0.1802228521655894,1
124346423,CA65931,2025-06-29 18:00:00+00:00,0,test,0.5732770629903097,0.1802228521655894,1
124357545,CA65931,2025-06-29 22:00:00+00:00,0,test,0.6493941409416537,0.1802228521655894,1
124368218,CA65931,2025-06-30 02:00:00+00:00,0,test,0.6034311881239532,0.1802228521655894,1
124378938,CA65931,2025-06-30 06:00:00+00:00,0,test,0.6328371975574156,0.1802228521655894,1
124391328,CA65931,2025-06-30 10:00:00+00:00,0,test,0.5882952057500067,0.1802228521655894,1
124402575,CA65931,2025-06-30 14:00:00+00:00,0,test,0.6001186970934898,0.1802228521655894,1
124420375,CA65931,2025-06-30 18:00:00+00:00,0,test,0.6258436723877818,0.1802228521655894,1
124442470,CA65931,2025-06-30 22:00:00+00:00,0,test,0.6754975115548602,0.1802228521655894,1
124452777,CA65931,2025-07-01 02:00:00+00:00,0,test,0.5363077547546633,0.1802228521655894,1
121015354,CA65932,2025-06-05 16:58:41+00:00,1,test,0.23096833339091305,0.1802228521655894,1
121025735,CA65932,2025-06-05 21:00:00+00:00,1,test,0.23467996790032092,0.1802228521655894,1
121037369,CA65932,2025-06-06 01:00:00+00:00,1,test,0.2072567394588517,0.1802228521655894,1
121048040,CA65932,2025-06-06 05:00:00+00:00,1,test,0.2608860560537331,0.1802228521655894,1
121061457,CA65932,2025-06-06 09:00:00+00:00,0,test,0.28570673317315926,0.1802228521655894,1
121070131,CA65932,2025-06-06 13:00:00+00:00,1,test,0.2688750795038096,0.1802228521655894,1
121085024,CA65932,2025-06-06 17:00:00+00:00,1,test,0.25107466477166224,0.1802228521655894,1
121096034,CA65932,2025-06-06 21:00:00+00:00,1,test,0.2690227179296044,0.1802228521655894,1
121104458,CA65932,2025-06-07 01:00:00+00:00,1,test,0.27869558422499796,0.1802228521655894,1
121118804,CA65932,2025-06-07 05:00:00+00:00,1,test,0.2629010259940901,0.1802228521655894,1
121131597,CA65932,2025-06-07 09:00:00+00:00,1,test,0.2636541711595911,0.1802228521655894,1
121143204,CA65932,2025-06-07 13:00:00+00:00,0,test,0.31007546823828125,0.1802228521655894,1
121155021,CA65932,2025-06-07 17:00:00+00:00,0,test,0.35161990518322517,0.1802228521655894,1
121165488,CA65932,2025-06-07 21:00:00+00:00,0,test,0.3299255090700329,0.1802228521655894,1
121175643,CA65932,2025-06-08 01:00:00+00:00,0,test,0.2519852069146671,0.1802228521655894,1
121190542,CA65932,2025-06-08 05:00:00+00:00,0,test,0.2948774331752996,0.1802228521655894,1
121198806,CA65932,2025-06-08 09:00:00+00:00,0,test,0.3149680038373746,0.1802228521655894,1
121210258,CA65932,2025-06-08 13:00:00+00:00,0,test,0.2672662956453696,0.1802228521655894,1
121221451,CA65932,2025-06-08 17:00:00+00:00,0,test,0.2416415216492627,0.1802228521655894,1
121234383,CA65932,2025-06-08 21:00:00+00:00,0,test,0.3162244710862879,0.1802228521655894,1
121243893,CA65932,2025-06-09 01:00:00+00:00,0,test,0.22616904849972772,0.1802228521655894,1
121256865,CA65932,2025-06-09 05:00:00+00:00,1,test,0.2505468186650901,0.1802228521655894,1
121267373,CA65932,2025-06-09 09:00:00+00:00,1,test,0.23857837299234522,0.1802228521655894,1
121275987,CA65932,2025-06-09 13:00:00+00:00,0,test,0.26673238258041543,0.1802228521655894,1
121286904,CA65932,2025-06-09 17:00:00+00:00,0,test,0.2761189614340485,0.1802228521655894,1
121300405,CA65932,2025-06-09 21:00:00+00:00,1,test,0.337081695329004,0.1802228521655894,1
121310885,CA65932,2025-06-10 01:00:00+00:00,1,test,0.23761835289173774,0.1802228521655894,1
121322044,CA65932,2025-06-10 05:00:00+00:00,1,test,0.2557753972437082,0.1802228521655894,1
121333852,CA65932,2025-06-10 09:00:00+00:00,1,test,0.2414045615239911,0.1802228521655894,1
121345914,CA65932,2025-06-10 13:00:00+00:00,1,test,0.2440103226458232,0.1802228521655894,1
121355843,CA65932,2025-06-10 17:00:00+00:00,1,test,0.3342831023608882,0.1802228521655894,1
121366225,CA65932,2025-06-10 21:00:00+00:00,1,test,0.30725231687180626,0.1802228521655894,1
121379442,CA65932,2025-06-11 01:00:00+00:00,1,test,0.2539573128241211,0.1802228521655894,1
121385350,CA65932,2025-06-11 05:00:00+00:00,0,test,0.2558548398653941,0.1802228521655894,1
121398489,CA65932,2025-06-11 09:00:00+00:00,0,test,0.24768146267694202,0.1802228521655894,1
121406882,CA65932,2025-06-11 13:00:00+00:00,0,test,0.27453872645151683,0.1802228521655894,1
121420746,CA65932,2025-06-11 17:00:00+00:00,0,test,0.297150128577023,0.1802228521655894,1
121432610,CA65932,2025-06-11 21:00:00+00:00,0,test,0.313699432828081,0.1802228521655894,1
121442097,CA65932,2025-06-12 01:00:00+00:00,0,test,0.2500536494352358,0.1802228521655894,1
121454956,CA65932,2025-06-12 05:00:00+00:00,0,test,0.3063308441178176,0.1802228521655894,1
121464892,CA65932,2025-06-12 09:00:00+00:00,0,test,0.2802712876255065,0.1802228521655894,1
121476118,CA65932,2025-06-12 13:00:00+00:00,0,test,0.2800139066854166,0.1802228521655894,1
121486279,CA65932,2025-06-12 17:00:00+00:00,0,test,0.31173619057121255,0.1802228521655894,1
121497240,CA65932,2025-06-12 21:00:00+00:00,0,test,0.3559297383803918,0.1802228521655894,1
121510098,CA65932,2025-06-13 01:00:00+00:00,1,test,0.2900927385443952,0.1802228521655894,1
121519497,CA65932,2025-06-13 05:00:00+00:00,1,test,0.30962964051928665,0.1802228521655894,1
121530480,CA65932,2025-06-13 09:00:00+00:00,0,test,0.24887694642999375,0.1802228521655894,1
121539355,CA65932,2025-06-13 13:00:00+00:00,1,test,0.28948778552326704,0.1802228521655894,1
121551538,CA65932,2025-06-13 17:00:00+00:00,0,test,0.33950263370713396,0.1802228521655894,1
121562103,CA65932,2025-06-13 21:00:00+00:00,1,test,0.34486310966261174,0.1802228521655894,1
121573491,CA65932,2025-06-14 01:00:00+00:00,1,test,0.3055167568893644,0.1802228521655894,1
121582581,CA65932,2025-06-14 05:00:00+00:00,1,test,0.2595756864414887,0.1802228521655894,1
121595727,CA65932,2025-06-14 09:00:00+00:00,0,test,0.2948344146499796,0.1802228521655894,1
121609044,CA65932,2025-06-14 13:00:00+00:00,0,test,0.2980097252483251,0.1802228521655894,1
121618180,CA65932,2025-06-14 17:00:00+00:00,0,test,0.281382948592721,0.1802228521655894,1
121629925,CA65932,2025-06-14 21:00:00+00:00,0,test,0.334043999383478,0.1802228521655894,1
121638913,CA65932,2025-06-15 01:00:00+00:00,1,test,0.21206890577294182,0.1802228521655894,1
121649357,CA65932,2025-06-15 05:00:00+00:00,1,test,0.2411732624535347,0.1802228521655894,1
121659716,CA65932,2025-06-15 09:00:00+00:00,1,test,0.20133796893590541,0.1802228521655894,1
121667892,CA65932,2025-06-15 13:00:00+00:00,1,test,0.2724382864069148,0.1802228521655894,1
121680041,CA65932,2025-06-15 17:00:00+00:00,1,test,0.3190471848779428,0.1802228521655894,1
121687592,CA65932,2025-06-15 21:00:00+00:00,0,test,0.332400852119958,0.1802228521655894,1
121699159,CA65932,2025-06-16 01:00:00+00:00,0,test,0.2992150200673384,0.1802228521655894,1
121708377,CA65932,2025-06-16 05:00:00+00:00,0,test,0.31447384504198533,0.1802228521655894,1
121718367,CA65932,2025-06-16 09:00:00+00:00,0,test,0.30212693051065587,0.1802228521655894,1
121730630,CA65932,2025-06-16 13:00:00+00:00,0,test,0.2594374879782873,0.1802228521655894,1
121773899,CA65932,2025-06-16 17:00:00+00:00,0,test,0.32699416585725577,0.1802228521655894,1
121822431,CA65932,2025-06-16 21:00:00+00:00,1,test,0.33336772851953084,0.1802228521655894,1
121845321,CA65932,2025-06-17 01:00:00+00:00,0,test,0.26695098164424674,0.1802228521655894,1
121856604,CA65932,2025-06-17 05:00:00+00:00,0,test,0.2952024433031643,0.1802228521655894,1
